latitude, longitude, elevation
32.5962516667, -85.2954050000, 0.0000000000
32.5965455986, -85.2963135914, 0.0000000000
32.5968395304, -85.2972221857, 0.0000000000
32.5971334622, -85.2981307830, 0.0000000000
32.5974273937, -85.2990393831, 0.0000000000
32.5977213245, -85.2999479861, 0.0000000000
32.5980152543, -85.3008565919, 0.0000000000
32.5983091829, -85.3017652004, 0.0000000000
32.5986031104, -85.3026738116, 0.0000000000
32.5988970367, -85.3035824252, 0.0000000000
32.5991909620, -85.3044910417, 0.0000000000
32.5994848863, -85.3053996611, 0.0000000000
32.5997788096, -85.3063082834, 0.0000000000
32.6000727324, -85.3072169085, 0.0000000000
32.6003666550, -85.3081255365, 0.0000000000
32.6006605775, -85.3090341675, 0.0000000000
32.6009545001, -85.3099428013, 0.0000000000
32.6012484226, -85.3108514382, 0.0000000000
